subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
LA,1,trans_x,0.06072292810222724,0.14136425982222095,0.1484489703897623,0.07264127927683017,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
LA,1,trans_y,0.22029803366989736,0.12845028580721538,0.1251485360576736,0.06778061836574278,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
LA,1,trans_z,0.07134513069269229,0.18571365974023682,0.16877067770403312,0.07998078087548892,0.8518518518518519,0.9511677282377918,1.0,False,False,False,27
LA,1,rot_x,0.3011896603188338,0.18660813440988044,0.17550863890231022,0.08918550077852554,0.07407407407407407,0.2828282828282828,1.0,False,False,False,27
LA,1,rot_y,0.238693377817457,0.11667680043078543,0.12513916990630594,0.06854378800489784,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
LA,1,rot_z,0.2789241611144482,0.14394940824694896,0.1568059972996283,0.08616757553176818,0.07407407407407407,0.2828282828282828,1.0,False,False,False,27
LA,2,trans_x,0.055220814853359126,0.13107752773666484,0.13278809958339324,0.07153389554660342,0.8518518518518519,0.9511677282377918,1.0,False,False,False,27
LA,2,trans_y,0.09797448555260252,0.12184229847106046,0.15962247589396505,0.0880969079190826,0.6666666666666666,0.8888888888888888,1.0,False,False,False,27
LA,2,trans_z,0.2563229855973216,0.13183762168261964,0.1386261806157574,0.06013663344154612,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
LA,2,rot_x,0.007868292911971482,0.15002578580134007,0.1559967628408792,0.07967842650402499,1.0,1.0,1.0,False,False,False,27
LA,2,rot_y,0.17435429525357013,0.12272452649493044,0.14825132790656906,0.07079829371633943,0.2962962962962963,0.5925925925925926,1.0,False,False,False,27
LA,2,rot_z,0.04604342103139897,0.12385795265574404,0.1602014218366777,0.0915929372430883,0.9259259259259259,0.966183574879227,1.0,False,False,False,27
BS,1,trans_x,0.15009463880865212,0.12185543719495896,0.14157496609350187,0.07967568207056262,0.4444444444444444,0.7619047619047619,1.0,False,False,False,27
BS,1,trans_y,0.07166563722550734,0.19808274116800587,0.18935383827364038,0.08626409034268077,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
BS,1,trans_z,0.10051386748169298,0.12215963965748705,0.1294861359882353,0.06416144540864965,0.6296296296296297,0.8888888888888888,1.0,False,False,False,27
BS,1,rot_x,0.05803032028202943,0.14138018773576888,0.15195644916714623,0.0753980811177716,0.8518518518518519,0.9511677282377918,1.0,False,False,False,27
BS,1,rot_y,0.2909982855546332,0.1659146758297615,0.16757206961315105,0.11005710946387517,0.18518518518518517,0.47138047138047134,1.0,False,False,False,27
BS,1,rot_z,0.17585726487949796,0.16828505707703656,0.17686916996571792,0.08015755761828963,0.4074074074074074,0.7204678362573099,1.0,False,False,False,27
BS,2,trans_x,0.30353760631814924,0.1297331495926835,0.12711142548513166,0.07866545472861877,0.0,0.0,0.0,True,True,True,27
BS,2,trans_y,0.4461608242946309,0.17703388222075042,0.18142349872090188,0.08964217393636917,0.0,0.0,0.0,True,True,True,27
BS,2,trans_z,0.4967278032619256,0.17351555036013142,0.17481094246964363,0.08885371737550136,0.0,0.0,0.0,True,True,True,27
BS,2,rot_x,0.0722923975074894,0.15515075200066,0.16009272824902396,0.07641014464416793,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
BS,2,rot_y,0.14406462698900646,0.13841409562879886,0.14342012596001183,0.06271615977875457,0.4444444444444444,0.7619047619047619,1.0,False,False,False,27
BS,2,rot_z,0.21511229978352536,0.1773359844762064,0.18193307156745753,0.10533342275379402,0.37037037037037035,0.6690561529271206,1.0,False,False,False,27
AE,1,trans_x,0.34893619105464213,0.15358848075096973,0.16617762063350186,0.08968349738133673,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
AE,1,trans_y,0.09130241305903077,0.20493254682129916,0.20406043955372766,0.10216010105360772,0.8148148148148148,0.9511677282377918,1.0,False,False,False,27
AE,1,trans_z,0.27607629147150337,0.16492600323082254,0.18732563446955178,0.1192838438510564,0.18518518518518517,0.47138047138047134,1.0,False,False,False,27
AE,1,rot_x,0.32845108216161856,0.181504573021021,0.1871129218779981,0.09799728657515558,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
AE,1,rot_y,0.371902022080885,0.18816739810346558,0.18211196349750017,0.08254813755883848,0.0,0.0,0.0,True,True,True,27
AE,1,rot_z,0.09368721116432685,0.2014325751160707,0.21521979846560144,0.09606986553225279,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
AE,2,trans_x,0.08568536030469422,0.12520060540706499,0.15462837870399776,0.09272120424076606,0.8148148148148148,0.9511677282377918,1.0,False,False,False,27
AE,2,trans_y,0.1442630214865924,0.15603043094880248,0.1698461830478649,0.07376890622386693,0.5925925925925926,0.8657004830917874,1.0,False,False,False,27
AE,2,trans_z,0.35031632527158957,0.22007108388540556,0.23130827129668063,0.113725881635488,0.18518518518518517,0.47138047138047134,1.0,False,False,False,27
AE,2,rot_x,0.060603405220242906,0.16034706719299358,0.15913896216176454,0.06797749326217513,0.9259259259259259,0.966183574879227,1.0,False,False,False,27
AE,2,rot_y,0.23201086284490433,0.21546832664456736,0.21254297725815358,0.08625621989979007,0.37037037037037035,0.6690561529271206,1.0,False,False,False,27
AE,2,rot_z,0.26552546891076606,0.2014070686071767,0.2176225530582799,0.11234875112158564,0.2962962962962963,0.5925925925925926,1.0,False,False,False,27
AE,3,trans_x,0.16041695377754647,0.1867406468824547,0.19875211434888357,0.07724709720724231,0.8148148148148148,0.9511677282377918,1.0,False,False,False,27
AE,3,trans_y,0.12564782803825303,0.19356223454415536,0.19746300226664232,0.08318340963194128,0.7407407407407407,0.9427609427609427,1.0,False,False,False,27
AE,3,trans_z,0.13710065104794986,0.19610617114589632,0.212901123473624,0.08902114024947727,0.8148148148148148,0.9511677282377918,1.0,False,False,False,27
AE,3,rot_x,0.2871537719846646,0.1906886542376572,0.21642191820199855,0.10583270170528859,0.2222222222222222,0.5333333333333333,1.0,False,False,False,27
AE,3,rot_y,0.26518156357570527,0.17987722453813165,0.18865687979030424,0.08995163356407615,0.14814814814814814,0.4291187739463601,1.0,False,False,False,27
AE,3,rot_z,0.129304288336519,0.21650873479985738,0.19344872061118185,0.09131779654041099,0.6666666666666666,0.8888888888888888,1.0,False,False,False,27
AIM,1,trans_x,0.28117317070279446,0.182439376126858,0.16656455840305284,0.05732577824746925,0.0,0.0,0.0,True,True,True,27
AIM,1,trans_y,0.3023291853527129,0.13721899473192833,0.13720579136458919,0.06310801650296802,0.0,0.0,0.0,True,True,True,27
AIM,1,trans_z,0.2500657566471219,0.13487974337210543,0.16348901560670434,0.09492460548635637,0.14814814814814814,0.4291187739463601,1.0,False,False,False,27
AIM,1,rot_x,0.3579997730402224,0.12418800999325783,0.16684847336299682,0.1157124527662722,0.07407407407407407,0.2828282828282828,1.0,False,False,False,27
