subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
LA,1,trans_x,0.060722928,0.143603059,0.150467013,0.073278579,0.884615385,0.946594806,1,FALSE,FALSE,FALSE,26
LA,1,trans_y,0.220298034,0.125530395,0.122207191,0.067359646,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
LA,1,trans_z,0.071345131,0.193048548,0.174224502,0.076419026,0.884615385,0.946594806,1,FALSE,FALSE,FALSE,26
LA,1,rot_x,0.30118966,0.184553894,0.170996646,0.087808373,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
LA,1,rot_y,0.238693378,0.114969985,0.121183576,0.066756957,0.038461538,0.192,1,TRUE,FALSE,FALSE,26
LA,1,rot_z,0.278924161,0.145349482,0.159611966,0.086590062,0.076923077,0.280936455,1,FALSE,FALSE,FALSE,26
LA,2,trans_x,0.055220815,0.124294388,0.132055003,0.072796971,0.846153846,0.946594806,1,FALSE,FALSE,FALSE,26
LA,2,trans_y,0.097974486,0.120879118,0.15826527,0.089497673,0.653846154,0.90037831,1,FALSE,FALSE,FALSE,26
LA,2,trans_z,0.256322986,0.131259682,0.132956107,0.053735134,0,0,0,TRUE,TRUE,TRUE,26
LA,2,rot_x,0.007868293,0.142163828,0.155556763,0.081164052,1,1,1,FALSE,FALSE,FALSE,26
LA,2,rot_y,0.174354295,0.122624842,0.143385441,0.067571503,0.269230769,0.558404558,1,FALSE,FALSE,FALSE,26
LA,2,rot_z,0.046043421,0.119600738,0.155902361,0.090625153,0.923076923,0.972222222,1,FALSE,FALSE,FALSE,26
BS,1,trans_x,0.150094639,0.121671795,0.140083299,0.080822642,0.423076923,0.725274725,1,FALSE,FALSE,FALSE,26
BS,1,trans_y,0.071665637,0.198771062,0.192663367,0.086208898,0.884615385,0.946594806,1,FALSE,FALSE,FALSE,26
BS,1,trans_z,0.100513867,0.12286768,0.131600581,0.06445395,0.653846154,0.90037831,1,FALSE,FALSE,FALSE,26
BS,1,rot_x,0.05803032,0.146140047,0.15436167,0.075811095,0.846153846,0.946594806,1,FALSE,FALSE,FALSE,26
BS,1,rot_y,0.290998286,0.153971744,0.159766419,0.104562777,0.153846154,0.445623342,1,FALSE,FALSE,FALSE,26
BS,1,rot_z,0.175857265,0.16224675,0.175829094,0.081505527,0.384615385,0.694789082,1,FALSE,FALSE,FALSE,26
BS,2,trans_x,0.303537606,0.116127159,0.124593955,0.079089486,0,0,0,TRUE,TRUE,TRUE,26
BS,2,trans_y,0.446160824,0.16877204,0.1742869,0.083484413,0,0,0,TRUE,TRUE,TRUE,26
BS,2,trans_z,0.496727803,0.156298632,0.162729604,0.06525144,0,0,0,TRUE,TRUE,TRUE,26
