motion_param,coherence_gastric_band,coherence_peak,peak_frequency,coherence_broadband,specificity_ratio,subject,run
trans_x,0.12269455240738847,0.21884858876105293,0.0625,0.08445772243752336,1.4527333761915855,LA,1
trans_y,0.056495718665809866,0.11974445599665133,0.0625,0.08300740154576712,0.6806106147847457,LA,1
trans_z,0.06275197038535785,0.1194119201686195,0.0546875,0.04913090594119918,1.277240243294854,LA,1
rot_x,0.13677779575876564,0.25229323380704616,0.0546875,0.0612509852502437,2.233070945334946,LA,1
rot_y,0.051609622341481365,0.13718701438086336,0.0625,0.06004292111915409,0.8595454933498065,LA,1
rot_z,0.173634143017121,0.3566059720057393,0.0546875,0.18974865982387534,0.9150744099419764,LA,1
trans_x,0.04715738747560061,0.07227150552064726,0.0625,0.17765324455145803,0.265446249338816,LA,2
trans_y,0.04328960162600402,0.10490052415215108,0.0625,0.1033491830151093,0.4188673806718772,LA,2
trans_z,0.12441619186781627,0.1500993513393813,0.0546875,0.07262947573172886,1.7130261569843785,LA,2
rot_x,0.05261511410098754,0.09609063662667952,0.0625,0.045568520601619755,1.154637308626025,LA,2
rot_y,0.04320803818544531,0.06299290047495458,0.0390625,0.11062434731259836,0.39058344022849895,LA,2
rot_z,0.11537419335737392,0.18194541853083546,0.0390625,0.04830138995270842,2.388630911687489,LA,2
trans_x,0.058782033705452076,0.1089153268822657,0.046875,0.03528704458497428,1.665824787262003,BS,1
trans_y,0.025350138500915564,0.07461375706409576,0.0390625,0.11052418625195456,0.2293628149425165,BS,1
trans_z,0.08708468927971523,0.19139088318403635,0.0390625,0.13631364151669526,0.6388552770425684,BS,1
rot_x,0.03530414773431503,0.09669345307937406,0.0625,0.14198472201095136,0.24864751086900216,BS,1
rot_y,0.17040541400361073,0.37966805150462973,0.0546875,0.1679786421647837,1.014446906500183,BS,1
rot_z,0.019468671884641166,0.04403938261694769,0.046875,0.04477577451056411,0.4348036869036734,BS,1
trans_x,0.11077923663718725,0.17111165910609627,0.046875,0.1006632368310949,1.1004934871408603,BS,2
trans_y,0.1448670408846238,0.3172117121175572,0.0546875,0.28998296374433935,0.4995708677644502,BS,2
trans_z,0.23459310301335906,0.2846972370434374,0.046875,0.2973956411814611,0.7888249538645239,BS,2
rot_x,0.10282873334579566,0.25573692440326146,0.0390625,0.17126073586206012,0.6004221152510731,BS,2
rot_y,0.11885493374167722,0.2948583182101257,0.046875,0.26953808299108567,0.44095785047752334,BS,2
rot_z,0.09520481532895769,0.1373167098467439,0.0546875,0.11030926259774673,0.8630718128342855,BS,2
trans_x,0.07218076024263961,0.14648534226030235,0.0390625,0.10541879816038803,0.6847048290604744,OE,1
trans_y,0.18305792092772652,0.28138353219413553,0.0390625,0.17368937454058397,1.0539385112447373,OE,1
trans_z,0.0709237876356593,0.14895943508564854,0.0546875,0.13938394987578595,0.508837550148208,OE,1
