motion_param,r2_full,r2_adjusted,r2_phase_only,r2_amplitude_only,f_statistic,f_pvalue,correlation_r,correlation_p,beta_sin,beta_cos,beta_amplitude,beta_sin_amp_interaction,beta_cos_amp_interaction,subject,run,gastric_peak_freq
trans_x,0.024610576973149056,0.01362646184897276,0.015372937304314771,0.0006991481312420555,2.240560727461854,0.049412748303607625,0.0705657399755866,0.13501217238180022,0.0001383086335735483,-0.0006439647795974537,0.00015005819451229966,0.00023365057915336065,0.000610703633338703,LA,1,0.05074074074074074
trans_y,0.02211805358504837,0.011105869503798882,0.01637629748683156,8.245711535237454e-06,2.00850743338998,0.07625911432127597,-0.08568885747327504,0.06936718249390546,-0.0009423936480923755,-0.006168201132565903,5.36637980667931e-05,0.0014548061408308959,0.002716611301105298,LA,1,0.05074074074074074
trans_z,0.04172276436614397,0.030931354054951954,0.0242032563636293,0.0002765035858197651,3.866293947036019,0.0019336487469378274,-0.07578172219668908,0.10840336125400661,-0.0030220642754303314,-0.00039358098431967084,0.00017068200209046283,0.0016268597227875048,-9.779792650808922e-05,LA,1,0.05074074074074074
rot_x,0.11767223199441879,0.10773610848084247,0.11581959065989811,4.4687113032182424e-07,11.842871300224436,9.059883275948537e-11,-0.19988824789105536,1.9402189226138043e-05,0.00405246234853166,-0.0016885094566262671,6.001349396615407e-05,0.00044016646322244486,-0.0012662661159988891,LA,1,0.05074074074074074
rot_y,0.03945077779406414,0.028633782048501755,0.03618160561890171,0.0009379481233132703,3.647110410508273,0.00303398530621463,0.16508087690040507,0.00043759243209428466,-0.000303867328072293,0.0009048707306000736,0.00013688967873408706,0.00029664014040000903,-0.0001657274141403165,LA,1,0.05074074074074074
rot_z,0.13210180616548017,0.12232817785653283,0.07681013947117399,0.00015882459658123071,13.516147943189853,2.7544176721374673e-12,0.17580352038371344,0.00017809714388880265,-0.0008960332188638204,-0.006217165863804043,-8.19399020227093e-05,0.003911074737674516,0.006129992322688368,LA,1,0.05074074074074074
trans_x,0.02718495304456392,0.01622982864191258,0.013210001244952085,2.3374971743872486e-05,2.48148282442003,0.031165777348980905,-0.007555775890934422,0.8730081423090288,-0.0003078046025512507,0.002781720537617981,6.726819313136652e-05,-0.0004611792500046098,-0.0018809958530442274,LA,2,0.05592592592592592
trans_y,0.015931487839035863,0.004849635224610571,0.0005228549189341125,2.410091185511831e-07,1.437619538297934,0.20939704370767054,0.05166348058721694,0.2741172044836368,-0.004071270279258175,-0.00780590526110295,9.796832946463629e-05,0.002673937330063532,0.006160518344865227,LA,2,0.05592592592592592
trans_z,0.08930262118679988,0.07904702007403863,0.05719654098726945,4.996547275326613e-05,8.707692528688414,6.860059563099895e-08,-0.23235247497372596,6.241264283878806e-07,-0.00024947624866558746,0.001834360371490275,7.776348502305393e-05,-0.0006241621381114996,-0.002347192203557627,LA,2,0.05592592592592592
rot_x,0.003703000650066901,-0.0075165601534232795,0.0016979859837742417,1.0146781631581447e-06,0.33004862801001983,0.8947991252785903,0.02411310435287348,0.6099339966800311,-0.0011803682594751642,0.0027505617246300343,-1.0692449942499978e-06,0.0008233774804615767,-0.0014881569091016278,LA,2,0.05592592592592592
rot_y,0.035787238414962785,0.02492898659531151,0.007202993204820096,2.7049174697979517e-05,3.2958563689041367,0.00620354598202473,0.010385519922557231,0.826102221936778,0.001914401702002405,0.0023347760012386795,3.6931277578951885e-06,-0.0011986063295755705,-0.0014988847859845676,LA,2,0.05592592592592592
rot_z,0.03874450531869966,0.027919556054270656,0.0033892582475552047,1.1052102376618578e-06,3.5791858578048643,0.003486401465605297,0.028474935409534413,0.5468501963239906,0.0001865738130421759,-0.007247116071925682,-3.028944809561045e-05,0.0002871490475416104,0.005060340245295715,LA,2,0.05592592592592592
trans_x,0.0866398402755525,0.07635425289126818,0.025763833588552276,9.000023544003533e-05,8.423421729704256,1.256259953520183e-07,-0.15550801161952815,0.0009336107669721583,-0.006546637347917989,-0.0009697293732545912,0.0001479854403856143,0.004878733355645656,-9.951406114586743e-05,BS,1,0.05259259259259259
trans_y,0.11481405581656645,0.10484574563432059,0.006496898681348506,0.0002697845954849898,11.51790561464037,1.792767089212939e-10,0.004554857303229725,0.9232387312909492,0.008329352678884756,0.017867233171872075,-0.00022956225647191092,-0.005956749906809741,-0.012186967428830837,BS,1,0.05259259259259259
trans_z,0.14035137007214749,0.1306706422576447,0.00408630914150343,5.2874871366292986e-05,14.498018409513069,3.609088603002439e-13,-0.1197549824390033,0.011006989439749329,-0.012058624389844235,0.010088854200814073,-0.00032553565978660123,0.008917393762991284,-0.0078526618875756,BS,1,0.05259259259259259
rot_x,0.021445444641513878,0.010425686135224654,0.002571095295930359,0.000501731817851403,1.9460902549973655,0.08553344189758783,-0.005884297168600994,0.9009362712373057,0.0033258537465612145,-0.008226590569618645,-0.00031704009485792066,-0.00206308813589716,0.005570308674427761,BS,1,0.05259259259259259
rot_y,0.15522263900615396,0.14570938043640347,0.1416996648536758,8.423196977547232e-05,16.316453281288723,8.680899201823206e-15,-0.3519788141456299,1.4328535398678556e-14,-0.0028887907140035664,-0.0030469027492212855,3.5268787267470807e-06,0.002671701344515185,8.029220761666435e-05,BS,1,0.05259259259259259
rot_z,0.013249239629213316,0.0021371815169296537,0.011878734536715618,8.82312854612044e-05,1.1923299442222286,0.31190960005162627,0.0062525068638048685,0.8947722471058208,0.003766414518235165,-0.0008705382423731523,-0.00025957139984773126,-0.0014866660373745897,0.0006668725972343542,BS,1,0.05259259259259259
trans_x,0.10937411635261729,0.0993445455908224,0.06021487281382609,0.00030349637383320083,10.905164233872371,6.513932696359093e-10,-0.22110450205554694,2.1794448422853223e-06,-0.007982666007164456,-0.005644490436175793,0.000241456273532597,0.005774225008733215,0.0024787626521749133,BS,2,0.05333333333333333
trans_y,0.14746852095318597,0.13786794123419033,0.13939807075181665,0.0006920561296187566,15.360376692816327,6.124753274741893e-14,0.33756708161487986,1.8662398345593852e-13,0.0024834978379913164,0.011035065056213898,0.0013126486124893952,-0.0029318332055855837,-0.003496153478950852,BS,2,0.05333333333333333
trans_z,0.20728268674126205,0.19835568997033026,0.1656426727633279,0.00010202598638686666,23.21975598963137,9.767645882141739e-21,-0.424173211477277,4.442936222910223e-21,-0.008648076215154558,0.0010653921186533643,-0.0003580441446139329,0.0060224224520397385,-0.004381680949235998,BS,2,0.05333333333333333
rot_x,0.05341080777359786,0.0427510195728501,0.008719366050115251,0.0007387726050508414,5.010494276973638,0.00017763559157156882,0.07636052578888863,0.10572539718649118,-0.046209307589693285,0.015766576681286868,0.0036068430395661583,0.03316840295152364,-0.008056724676993697,BS,2,0.05333333333333333
rot_y,0.07866478408863642,0.06828938751305802,0.06720039529314059,0.0005710307456374686,7.5818580538692295,7.545458992943705e-07,-0.21537199641465715,4.022116075587136e-06,0.0029259744521986843,-0.004776764420365249,-0.0006701831167358109,-0.0030310948977751904,0.0016275920949257582,BS,2,0.05333333333333333
rot_z,0.06972325701414395,0.05924716756610504,0.043726563297322385,0.00020577858408676875,6.655465988522643,5.430974540055435e-06,0.06138519762093014,0.19367606959427747,0.011983154579720576,0.0076157810810413415,-0.0004779752257816249,-0.006515113418053251,-0.004551489391680352,BS,2,0.05333333333333333
trans_x,0.12385915285480043,0.10895879831151478,0.09897563998697168,5.385817545267013e-05,8.312497027838376,2.2980427976355612e-07,-0.3140355424049095,2.7323359063900064e-08,0.0008289713621671496,-0.0007920344749319311,0.00014749436617699082,-0.0015139102420992302,-0.0016005619018694085,OE,1,0.05388888888888889
trans_y,0.08513017938301648,0.06957116882830594,0.0645904822760669,0.00013117646085503143,5.471439143489923,7.837592066912296e-05,0.04661769192572962,0.42110319603623275,0.002210309615357642,-0.006507858264441561,-0.0007449584521317333,0.005686367017974038,0.005261163672422625,OE,1,0.05388888888888889
trans_z,0.05589534104176663,0.039839139358803566,0.053793709349427066,0.00030054010014668453,3.4812306263613895,0.004507276387770145,-0.11582945366210998,0.045005645151029554,-0.001480748661774385,-0.0016490180025884847,0.0004114594038874736,-0.0005722606317060954,6.479278745068868e-05,OE,1,0.05388888888888889
rot_x,0.13546695773308548,0.12076401483738974,0.021063016708544158,2.0008896317591507e-08,9.213594767666711,3.6751239557795485e-08,0.05090922470491355,0.3795843386764369,0.004001775581677043,-0.01507504280549792,-0.00018876005552078394,-0.004800871646402615,0.010159112152896593,OE,1,0.05388888888888889
rot_y,0.14587265122843796,0.1313466759091938,0.11204650747806699,9.775834506453585e-06,10.042193245033497,6.888861930819703e-09,-0.3112991721703319,3.654555316485723e-08,0.0008606639946690271,-0.0007184775715218684,0.000174923434555908,-0.0015713159131983197,-0.0010897953092137253,OE,1,0.05388888888888889
rot_z,0.16593221018936577,0.15174738383204212,0.06698348131634235,8.17636001851918e-05,11.697866862056722,2.519289043492556e-10,-0.14651859332181388,0.011056464052930063,0.010079652276318182,-0.008797756606957995,0.0006953585005006134,-0.01083391676170567,0.003056868397617869,OE,1,0.05388888888888889
trans_x,0.017004258925142568,0.0002866442810124381,0.005909335602158894,0.0004449162066867407,1.0171462428769966,0.40765204250580683,0.07496966506511775,0.19534961648056845,-0.0016460826218318682,-0.001181965614146197,0.00025802846247155036,0.000960551622737345,0.0011408834996163727,OE,2,0.051666666666666666
trans_y,0.11762557061514778,0.1026192027684667,0.08873834447676676,0.00046672026171101777,7.838377135421353,6.055683163642588e-07,-0.29753309929177096,1.5101699343005595e-07,0.00846885005363797,0.0038004277027251067,0.0006483832286488052,-0.004063525056418755,-0.007254242978389367,OE,2,0.051666666666666666
trans_z,0.10668071686958946,0.09148821205444646,0.01178200852968092,0.004224303396966778,7.021930759123811,3.230544922379675e-06,0.008519111796024714,0.8831777885484958,0.0018296543178781283,0.0076879822243705945,-0.000731560682055908,-0.0013324701571654557,-0.005111950597086093,OE,2,0.051666666666666666
rot_x,0.05439644567342161,0.03831475257262951,0.038101219175404655,2.8821382037635956e-06,3.3825073847940903,0.005489248272768204,0.15581406961054534,0.006850061608781841,-0.003944571537777545,0.0069518563120163565,0.0004800705311582369,0.0029144685511370318,-0.003007122512859225,OE,2,0.051666666666666666
rot_y,0.012897123426559354,-0.0038903404607439906,0.004327460980160791,0.0010418190960252982,0.7682591910927997,0.5732863587225885,0.02007345541862693,0.7291429090164412,-0.0013506368037980616,0.0010637532275024097,-0.00017394037275814535,0.0007950650077839512,-0.0006334451055219683,OE,2,0.051666666666666666
rot_z,0.04507017508197919,0.028829871937114948,0.04374359415513096,0.0006624547432401151,2.775205282804822,0.018158505299234472,-0.15125264974767885,0.008691682508072722,-0.0025027905336205175,-0.0015081223849788326,-0.0006789179065195973,0.00023946194483242828,-0.000606723688980154,OE,2,0.051666666666666666
trans_x,0.13397530570971428,0.11924699458232857,0.06986016424326458,0.00045434266785215893,9.096447281087148,4.6608843175752835e-08,-0.32772097704161307,6.10189897641772e-09,0.0009231927006570955,0.003938221452631196,-0.00023891240932845186,-0.00032804279781973455,-0.004627102776579955,OE,3,0.050555555555555555
trans_y,0.18532282560892088,0.17146777162267812,0.138597063362926,0.006326593861444962,13.375828473345123,9.307295667566533e-12,0.02824424767785474,0.6260743221796217,-0.012495055548572982,0.02114367636382311,0.0020506082430810264,0.0009583403341671238,-0.013435577675074238,OE,3,0.050555555555555555
trans_z,0.1344025713405521,0.1196815266354595,0.01679486646449624,0.020037352725778113,9.129961496146832,4.354474531352155e-08,0.027392693543857947,0.6365247262720659,0.005130641327424728,0.005762096374652523,0.0005753811634924333,-0.004343114868197863,-0.003642998218903695,OE,3,0.050555555555555555
rot_x,0.08850484856178087,0.07300323034004252,0.06359630249649573,0.003142208012232861,5.709394161034601,4.804926352687866e-05,-0.20326396326146698,0.00039561052049721045,0.005738025198434854,-0.008144991815403242,-0.001839862019346388,-0.005284711959552624,0.0027322037061079103,OE,3,0.050555555555555555
rot_y,0.18198706712696633,0.1680752825542957,0.15954020319268025,0.0009323157931104831,13.081504114466767,1.6530605946949102e-11,-0.36610636974998145,6.01999245138677e-11,0.0012363829765705933,-0.0012274713663817153,1.945372854083037e-05,-0.0017195391106947862,-0.0008262201330093305,OE,3,0.050555555555555555
rot_z,0.11598244184953954,0.10094812963609645,0.0014937462491870779,0.004789281364332321,7.7145159820368585,7.803458537770353e-07,-0.06364432269891765,0.2718272026175618,0.009439292524134373,0.012249634138534136,-0.000660305720281462,-0.007520296037761905,-0.008879433494546903,OE,3,0.050555555555555555
trans_x,0.245816940431684,0.23299069792201887,0.22383748023248262,0.0010509760380462696,19.1651561434651,1.6645235656232565e-16,0.2548696097454236,7.819012183012456e-06,0.0038512844166268944,-0.0010553282260287425,-0.0009054623042466558,-0.005861695594488743,0.002665636294182562,AE,1,0.04833333333333333
trans_y,0.10535382278637817,0.09013875174533026,0.011150382817033844,0.0020831313164079157,6.924306991544716,3.948048833792437e-06,-0.014203893536140275,0.8064533612299171,0.03915714146527499,0.017408369298566977,-0.0015439316679530693,-0.026379101412649427,-0.012367790913474466,AE,1,0.04833333333333333
trans_z,0.10623198891888896,0.09103185267601299,0.10071202850595751,0.0015961971779991924,6.988883995607444,3.4574764529115303e-06,0.061410740067354266,0.28904191329065365,-0.0026821913869945744,0.003090681858844987,-0.0010198941338034509,0.00027201613559747035,-0.0018311719842692348,AE,1,0.04833333333333333
rot_x,0.1509907688001263,0.13655183629672718,0.07380470351084634,7.606626360978641e-05,10.457197494661054,2.9916360828346153e-09,-0.21661482935856824,0.00015606996757693562,-0.036285192993285295,-0.01918241310673645,-0.0007375643961157797,0.028602142028518466,0.00938462584551606,AE,1,0.04833333333333333
rot_y,0.2790216897789827,0.26676015389087016,0.13140563295651442,1.930902801616785e-05,22.755851495691665,2.6742199161972825e-19,0.4002579852068378,5.708871736620673e-13,0.011476457481846296,-0.019383636101745646,0.0006937520939386523,-0.007370184909068153,0.016679431155840897,AE,1,0.04833333333333333
rot_z,0.08016326447982014,0.06451978258321855,0.02515896648580762,0.0005174670420178273,5.124387589008196,0.00015986587176888365,0.03019299031153639,0.6024409435373388,-0.020502645543243967,-0.00849394833376876,0.0004692189014407071,0.016815418997531716,0.006316676783835502,AE,1,0.04833333333333333
trans_x,0.038151245998755634,0.021793273991931872,0.023739714361414088,0.00011608774280391643,2.332272361319632,0.04241777489114318,0.04874672010702843,0.4001835491052992,0.0016049226229947018,-0.0031583599340939262,0.000778238200447376,-0.0024145327800707875,0.0025379608329273162,AE,2,0.04666666666666667
trans_y,0.07807099181847976,0.06239192705348806,0.004452240576229838,0.0004266782069454189,4.979314327012434,0.00021527062203056333,0.042438249315356356,0.4639772880014939,0.02480090329404063,-0.020773727968222352,0.0013268672358459931,-0.01676818666237013,0.015102747668939147,AE,2,0.04666666666666667
trans_z,0.20209331738846448,0.188523475847452,0.10395768036475794,0.0005514362930596484,14.892828098078535,4.959063684345897e-13,0.3603039363272344,1.2601354965448982e-10,0.00766565697409053,-0.0033938199314543956,0.0014684674513370903,-0.0059247403056930815,0.004595298493711211,AE,2,0.04666666666666667
rot_x,0.04753477816578966,0.03133639003935762,0.0009289943016892455,0.0066905748939452,2.9345375474874253,0.013308015740845048,0.05885067121869923,0.30965368625802936,-0.003641848055142525,-0.013232906906171512,0.0030021770173970885,0.0021949187618316886,0.009813787515867046,AE,2,0.04666666666666667
rot_y,0.2286810886215611,0.2155634200607034,0.13738029810602015,3.01478323015969e-05,17.433058897670993,4.072429111717935e-15,0.1842117596242498,0.001351606048870816,0.008566507550315133,-0.0013620184783890731,0.0017682490729920793,-0.0090569619772434,0.0024239684830163716,AE,2,0.04666666666666667
rot_z,0.16045234226414917,0.14617432087408377,0.09565330546247908,0.004617931734949621,11.237715498576744,6.285778514707184e-10,0.25161250935019325,1.0287912046163312e-05,-0.01062829097505389,0.01580549530680881,0.00106682674547292,0.007879690832063677,-0.007765163545224635,AE,2,0.04666666666666667
trans_x,0.043776424066938824,0.027514118353791583,0.03831595927970233,0.0015258956609675023,2.691895284661123,0.021339846356076265,0.008337010218862751,0.885657673809539,0.002564049936464809,0.0032730785667549342,0.000651985984904552,0.00018302981070410305,-0.0021061664290853033,AE,3,0.04666666666666667
trans_y,0.1342969918906768,0.11957415161670881,0.04655976570285947,0.003891584542223492,9.121676890574673,4.428283323948605e-08,0.13103448626131348,0.02321336789793862,-0.02172751224878861,0.035096237108162114,-0.00640707524407036,0.01690270627192534,-0.019444561163291216,AE,3,0.04666666666666667
trans_z,0.07468567004985993,0.058949031785401895,0.014278611078790249,0.0010062629842818582,4.745973618681985,0.000347170645096381,0.03443175133773306,0.5524706908022481,-0.005618021360540202,0.013285343615941329,-0.001536191488885467,0.004751735376829079,-0.00837693677672547,AE,3,0.04666666666666667
rot_x,0.053139335800397536,0.03703626327999621,0.03359137327056905,1.1083850246618177e-05,3.299950101638922,0.006469704260654733,0.11090160369746901,0.05501270192850812,-0.005551479908172126,-0.008178290763839182,-1.8448663703648583e-06,0.0008940216558276295,0.007484081924361603,AE,3,0.04666666666666667
rot_y,0.21738379586056578,0.20407399647043944,0.11622204420017068,0.00273469982009944,16.332612497662957,3.2071609984403895e-14,0.2604152745004563,4.858622388893167e-06,-0.014171047362055239,0.01575983733514616,-0.002992122662564424,0.009893210640532491,-0.007128011758669311,AE,3,0.04666666666666667
rot_z,0.0605597539049848,0.044582878971396234,0.04143087470677065,0.00034859341548276745,3.7904630384048414,0.0024223488480765044,-0.15926107689367552,0.005698669333576114,0.007477334654106761,-0.014206301987104908,0.0019288871078849664,-0.005894633387424722,0.006173440664408693,AE,3,0.04666666666666667
trans_x,0.019563348432066974,0.0028892557183266554,0.017837320890023878,0.00124739880084912,1.1732781368035556,0.3222867579150084,-0.09107302144114025,0.11546002584070951,0.001118363319246036,-0.000898142167739775,-0.00013177083378139995,0.00010399841887246005,-0.0003961643957687116,SE,1,0.04833333333333333
trans_y,0.08052813097515721,0.06489085429106134,0.07957456822983433,9.949377204421239e-05,5.149754180474345,0.00015175647645719408,0.1554147327905656,0.006996072634790742,-0.0024385895070346136,0.006671093277885185,-0.00040162378426999556,-0.00022771688019683115,-0.00025601718031844224,SE,1,0.04833333333333333
trans_z,0.05871717274781141,0.042708961399985146,0.04873209841112636,0.0010786575182362146,3.667940875592215,0.0030998973975627417,-0.14972545653757044,0.00940006812585185,0.0014070261726484936,-0.0011518570363707533,0.0002695024301722517,-0.0005183247094692386,-0.00039782902475736927,SE,1,0.04833333333333333
rot_x,0.10448290420713857,0.08925302162562743,0.09516693847951574,0.0009493663643876937,6.860388033061962,4.502256478090246e-06,0.03589666397201971,0.5356841605012178,-0.006260829682405095,-0.002957185108007529,-0.00014614702731385523,-0.0002506908113326801,0.001969664454536891,SE,1,0.04833333333333333
rot_y,0.08525324418014435,0.06969632656416047,0.03777018465214399,0.0024461826632268258,5.480085855346499,7.699521800602697e-05,-0.27777927401337954,1.0201066187220387e-06,0.00012153200215358183,-7.931686214541567e-05,0.00010797776743361903,-0.0006662789309037979,-0.001992370552586699,SE,1,0.04833333333333333
rot_z,0.17470292758355355,0.16066726308667523,0.0727640009702919,0.019781936248065013,12.447072072890395,5.736406974417411e-11,0.12278256153761838,0.03351758220225248,-0.0025948416526531295,-0.008571702894354848,0.0003832565033076611,-0.0026222481513067716,0.005752956137508432,SE,1,0.04833333333333333
trans_x,0.08987583949188027,0.0743975374424225,0.023830237942695898,1.053410169071789e-05,5.8065696873403825,3.934355836905726e-05,0.16928245470369707,0.003270776785450849,0.006916489151633583,-0.0049724697034419525,6.838499540508643e-05,-0.0037108575990312184,0.005168970118584748,SE,2,0.0443
